kota,harga_rata_rata,curah_hujan_rata_rata,suhu_rata_rata,jumlah_data
Jayapura,0.5766871865025079,0.5766871865025079,26.57220132238942,17544
Medan,0.5585196167883212,0.5585196167883212,25.865807481751823,26304
Tanjung Selor,0.47734268125854995,0.47734268125854995,26.208977428180575,17544
Palangka Raya,0.4597241222070223,0.4597241222070223,26.563679890560877,17544
Banjarmasin,0.45904012767897856,0.45904012767897856,26.826618787049703,17544
Pontianak,0.4463976288189695,0.4463976288189695,26.38081395348837,17544
Wamena,0.43695280437756495,0.43695280437756495,18.71371409028728,17544
Bengkulu,0.4145757299270073,0.4145757299270073,26.104231295620437,26304
Ambon,0.4103112175102599,0.4103112175102599,26.449338805289557,17544
Samarinda,0.40964432284541724,0.40964432284541724,26.520308937528497,17544
Padang,0.4018476277372263,0.4018476277372263,25.844248023114353,26304
Sorong,0.381640446876425,0.381640446876425,26.490595075239398,17544
Pekanbaru,0.368297597323601,0.368297597323601,26.41148874695864,26304
Palu,0.36609097127222984,0.36609097127222984,26.855090059279526,17544
Palembang,0.3418909671532847,0.3418909671532847,26.60431873479319,26304
Jambi,0.332588199513382,0.332588199513382,26.557462743309003,26304
Nabire,0.3191632466940264,0.3191632466940264,26.513332193342453,17544
Manado,0.30103739170086635,0.30103739170086635,26.43079115367077,17544
Tanjung Pinang,0.30088919288645694,0.30088919288645694,27.638411992704057,17544
Sofifi,0.297765617875057,0.297765617875057,27.30891472868217,17544
