provinsi,harga_rata_rata,curah_hujan_rata_rata,suhu_rata_rata,kelembapan_rata_rata,jumlah_data
Papua,0.5766871865025079,0.5766871865025079,26.57220132238942,90.31919744642043,17544
Sumatera Utara,0.5585196167883212,0.5585196167883212,25.865807481751823,89.22068886861314,26304
Kalimantan Utara,0.47734268125854995,0.47734268125854995,26.208977428180575,89.62118103055175,17544
Kalimantan Tengah,0.4597241222070223,0.4597241222070223,26.563679890560877,87.25547195622435,17544
Kalimantan Selatan,0.45904012767897856,0.45904012767897856,26.826618787049703,85.91489968080255,17544
Kalimantan Barat,0.4463976288189695,0.4463976288189695,26.38081395348837,89.77462380300958,17544
Papua Pegunungan,0.43695280437756495,0.43695280437756495,18.71371409028728,82.31486548107615,17544
Bengkulu,0.4145757299270073,0.4145757299270073,26.104231295620437,86.92712135036497,26304
Maluku,0.4103112175102599,0.4103112175102599,26.449338805289557,87.7718878248974,17544
Kalimantan Timur,0.40964432284541724,0.40964432284541724,26.520308937528497,88.84433424532604,17544
Sumatera Barat,0.4018476277372263,0.4018476277372263,25.844248023114353,85.4167046836983,26304
Papua Barat Daya,0.381640446876425,0.381640446876425,26.490595075239398,87.82484040127679,17544
Riau,0.368297597323601,0.368297597323601,26.41148874695864,87.60359641119221,26304
Sulawesi Tengah,0.36609097127222984,0.36609097127222984,26.855090059279526,87.64774281805745,17544
Sumatera Selatan,0.3418909671532847,0.3418909671532847,26.60431873479319,86.52828467153284,26304
Jambi,0.332588199513382,0.332588199513382,26.557462743309003,87.15275243309003,26304
Papua Tengah,0.3191632466940264,0.3191632466940264,26.513332193342453,87.67390560875513,17544
Sulawesi Utara,0.30103739170086635,0.30103739170086635,26.43079115367077,84.12101003191974,17544
Kepulauan Riau,0.30088919288645694,0.30088919288645694,27.638411992704057,82.41267669858641,17544
Maluku Utara,0.297765617875057,0.297765617875057,27.30891472868217,84.04907660738714,17544
